n,energy
100000000000820,10005441.32866076
100000000000821,10005442.81227490
100000000000822,10005442.10948662
100000000000823,10005440.60279563
100000000000824,10005434.35931077
100000000000825,10005440.42096720
100000000000826,10005444.31285482
100000000000827,10005448.96421840
100000000000828,10005449.69305481
100000000000829,10005451.97172176
100000000000830,10005448.60817428
100000000000831,10005452.26194891
100000000000832,10005451.54027166
100000000000833,10005453.93899243
100000000000834,10005453.06596531
100000000000835,10005452.09432332
100000000000836,10005447.06995291
100000000000837,10005452.66323607
100000000000838,10005453.11428032
100000000000839,10005453.81393527
100000000000840,10005453.97764369
100000000000841,10005459.66105580
100000000000842,10005459.97742612
100000000000843,10005463.97839411
100000000000844,10005461.00267148
100000000000845,10005462.42028605
100000000000846,10005463.97244572
100000000000847,10005467.01980612
100000000000848,10005464.78338883
100000000000849,10005471.74288261
100000000000850,10005473.99726035
100000000000851,10005477.31563831
100000000000852,10005478.73464741
100000000000853,10005482.65967616
100000000000854,10005479.87644075
100000000000855,10005482.64947691
100000000000856,10005480.82794291
100000000000857,10005482.69455552
100000000000858,10005481.21597039
100000000000859,10005478.89979622
100000000000860,10005472.51450005
100000000000861,10005477.89080202
100000000000862,10005478.80256494
100000000000863,10005478.57908641
100000000000864,10005475.36806964
100000000000865,10005476.97015238
100000000000866,10005475.36681999
100000000000867,10005480.18574015
100000000000868,10005478.16123476
100000000000869,10005477.73388104
100000000000870,10005474.52690753
100000000000871,10005472.32000827
100000000000872,10005466.31521134
100000000000873,10005470.73701447
100000000000874,10005470.41822072
100000000000875,10005470.82962420
100000000000876,10005469.59245693
100000000000877,10005471.03326922
100000000000878,10005465.02749094
100000000000879,10005463.93425284
100000000000880,10005459.76829821
100000000000881,10005463.12741125
100000000000882,10005466.42798926
100000000000883,10005468.55838465
100000000000884,10005462.90944393
100000000000885,10005465.26318787
100000000000886,10005462.00112013
100000000000887,10005458.42073647
100000000000888,10005452.27742228
100000000000889,10005450.24961034
100000000000890,10005444.76445599
100000000000891,10005447.19885005
100000000000892,10005445.08528063
100000000000893,10005445.75325694
100000000000894,10005443.40299682
100000000000895,10005441.79419332
100000000000896,10005436.85522709
100000000000897,10005442.38354326
100000000000898,10005441.62602737
100000000000899,10005439.66958906
100000000000900,10005436.44575257
100000000000901,10005439.31181667
100000000000902,10005438.36794853
100000000000903,10005442.62813451
100000000000904,10005440.36858007
100000000000905,10005441.58007296
100000000000906,10005441.21470500
100000000000907,10005440.90801793
100000000000908,10005434.96872808
100000000000909,10005439.03939727
100000000000910,10005439.79249263
100000000000911,10005442.83571268
100000000000912,10005444.69498664
100000000000913,10005449.44237921
100000000000914,10005447.92342065
100000000000915,10005452.61501447
100000000000916,10005453.29752305
100000000000917,10005457.71001158
100000000000918,10005458.07109718
100000000000919,10005456.48047752
100000000000920,10005449.99629978
100000000000921,10005455.25853586
100000000000922,10005456.73450595
100000000000923,10005457.72050145
100000000000924,10005455.54053679
100000000000925,10005456.99279531
100000000000926,10005453.75143767
100000000000927,10005456.28496326
100000000000928,10005452.91603658
100000000000929,10005453.35602066
100000000000930,10005453.18376622
100000000000931,10005454.65645141
100000000000932,10005450.86919362
100000000000933,10005454.76458951
100000000000934,10005451.67414841
100000000000935,10005449.12782129
100000000000936,10005447.03634647
100000000000937,10005450.66232608
100000000000938,10005448.70974798
100000000000939,10005450.89595024
100000000000940,10005446.78202967
100000000000941,10005446.30751159
100000000000942,10005443.52453028
100000000000943,10005440.31228485
100000000000944,10005432.64663473
100000000000945,10005437.03967141
100000000000946,10005438.49849517
100000000000947,10005439.86089387
100000000000948,10005436.87803071
100000000000949,10005435.72765841
100000000000950,10005429.80416600
100000000000951,10005431.98359155
100000000000952,10005430.74485234
100000000000953,10005433.32214513
100000000000954,10005433.10993273
100000000000955,10005433.11679578
100000000000956,10005429.13193731
100000000000957,10005435.38297403
100000000000958,10005435.59860136
100000000000959,10005434.89726697
100000000000960,10005432.74084101
100000000000961,10005435.94654973
100000000000962,10005434.53618913
100000000000963,10005438.07450829
100000000000964,10005435.65527539
100000000000965,10005437.73401865
100000000000966,10005438.98820224
100000000000967,10005440.19741974
100000000000968,10005434.81413892
100000000000969,10005438.16741681
100000000000970,10005437.23361009
100000000000971,10005438.09983448
100000000000972,10005437.37188019
100000000000973,10005438.60693064
100000000000974,10005431.94802565
100000000000975,10005429.71823809
100000000000976,10005422.57488581
100000000000977,10005419.94663048
100000000000978,10005415.69454077
100000000000979,10005412.56974796
100000000000980,10005406.92547602
100000000000981,10005413.82611569
100000000000982,10005416.29219850
100000000000983,10005417.10316887
100000000000984,10005414.03840693
100000000000985,10005414.62304741
100000000000986,10005410.67457874
100000000000987,10005411.92791687
100000000000988,10005405.65027615
100000000000989,10005401.18796885
100000000000990,10005395.11315809
100000000000991,10005391.74741216
100000000000992,10005386.15063803
100000000000993,10005391.83473530
100000000000994,10005392.81406557
100000000000995,10005394.15556776
100000000000996,10005393.71135111
100000000000997,10005396.43227330
